pid,parameter,optimal_x
3,[0.9794490348855058],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9437305008616409],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9773830210734317],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9369149772010593],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0398627856920624],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9700152923781418],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9293728260769887],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0561772446019582],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9628073385204331],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0517153689343508],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9616355646307646],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0440952726316253],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9622498580923392],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9098775509683312],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0112814702098762],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9831872944480391],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0790574281395184],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9179409631989198],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0216891139247],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9331812998142879],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0590143826975866],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0540852206811004],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.015988330248589],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0918593610319909],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.964901291176307],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0149967115045655],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.975093528047557],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9183526013796586],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0121459745267671],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0299354581009983],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9260780970520361],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0209899344005753],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9097827118428787],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0143150633857139],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9464974572387905],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9520958152239254],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0282106650849154],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9788213826541474],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0784788270850627],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9186138844222843],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0483862258488617],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0966338925375956],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0632281314011651],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0487096494358115],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.908442140359584],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[0.9243048840081959],"[0.0, 0.0, 0.0, 0.0, 0.0]"
3,[1.0524218876445497],"[0.0, 0.0, 0.0, 0.0, 0.0]"
